ID,Term,Aliases / Related labels,Category,Subcategory,Plain-English meaning,Mechanical role,Typical value / unit,Design notes / distinctions,Example systems,Scope,Source keys,Primary source URL,Additional source URLs,Added,Search tags
WG-1771,Objective Theft by Boarding,boarding objective transfer; seize objective by assault,Scenarios & victory,Boarding can transfer objective control,A successful boarding-related effect can transfer an objective held by the target directly to the attacking ship instead of merely inflicting boarding pressure.,Lets close assault steal scenario position as an alternative to causing damage.,boarding action / objective transfer,"Useful for cargo, data, relic or VIP objectives in naval and vehicle games.",Grimdark Future: Warfleets,Generic concept from optional system,GFWF-CORE,https://onepagerules.com/games/grimdark-future-warfleets,,v57,objective theft boarding transfer assault warfleets
WG-1772,Upgrade Disablement by Boarding,boarding sabotage; subsystem boarding disable,Damage & morale,Boarding temporarily disables subsystem,A boarding result can disable one selected ship upgrade for a limited period instead of dealing ordinary hull damage.,Lets boarding attack capability and systems rather than only health.,one upgrade / until end of round,"Useful for sabotage-focused boarding where attackers target engines, weapons or defensive systems.",Grimdark Future: Warfleets,Generic concept from optional system,GFWF-CORE,https://onepagerules.com/games/grimdark-future-warfleets,,v57,upgrade disablement boarding sabotage subsystem warfleets
WG-1773,Optional Strike Back,declinable retaliation; elective melee response,Reactions & interrupts,Defender may decline retaliation,"A melee defender may choose whether to make its return attacks; striking back carries a later combat penalty, so refusing can preserve future melee effectiveness.",Turns retaliation into a tempo and fatigue decision rather than an automatic step.,binary choice / strike back or decline,Useful when defenders may deliberately absorb an attack to remain fresh for a later activation or target.,Grimdark Future,Generic concept from system-specific rule,GF-CORE,https://www.onepagerules.com/games/grimdark-future,,v57,optional strike back elective retaliation fatigue grimdark future
WG-1774,Melee Separation,post-melee disengagement; charger recoil,Movement,Automatic separation after unresolved melee,"If both sides survive a melee, the charging unit withdraws a short distance so the units do not remain locked together.",Makes melee a temporary collision of units rather than a persistent engagement state.,1 inch separation in source,Useful for games that want repeated charges and manoeuvre without tracking locked combats.,Grimdark Future,Generic concept from system-specific rule,GF-CORE,https://www.onepagerules.com/games/grimdark-future,,v57,melee separation charger withdraw disengagement grimdark future
WG-1775,Wound-Marker Effect Roll,accumulated-wound effect roll; wound severity roll,Damage & morale,Accumulated wounds modify injury resolution,"After a model gains wounds, a separate effect roll adds the accumulated wound-marker count, making later wounds increasingly likely to produce incapacitation.",Turns repeated damage into escalating knockout probability without a fixed hit-point removal threshold.,d6 + wound markers / state threshold,Useful for skirmish games where models can survive several hits but become progressively less likely to do so.,Grimdark Future: Firefight,Generic concept from system-specific rule,GFFF-CORE,https://onepagerules.com/games/grimdark-future-firefight,,v57,wound marker effect roll accumulated wounds knockout firefight
WG-1776,Last-Model Wound Conversion,group-to-individual damage transition; final-model wound tracking,Damage & morale,Unit damage model changes at one survivor,"Multi-model units initially convert wounds directly into removed models, but once only one model remains, further wounds are tracked on that survivor and resolved through the individual wound-effect system.",Changes damage granularity as a group collapses to its last member.,1 wound = model until last survivor; then markers,Useful for small-unit games that want fast casualty removal without making the final figure equally disposable.,Grimdark Future: Firefight,Generic concept from system-specific rule,GFFF-CORE,https://onepagerules.com/games/grimdark-future-firefight,,v57,last model wound conversion group individual damage firefight
WG-1777,Shaken-to-Rout Escalation,repeat morale failure rout; degraded-state escalation,Damage & morale,Repeated morale failure becomes removal,A unit that fails morale while already in the Shaken state escalates to routing and is removed instead of merely remaining Shaken.,Makes a temporary morale condition become terminal when pressure is repeated.,failed morale while Shaken -> rout,Useful for two-stage morale systems where the first failure suppresses and the second breaks the unit.,Grimdark Future: Firefight,Generic concept from system-specific rule,GFFF-CORE,https://onepagerules.com/games/grimdark-future-firefight,,v57,shaken to rout escalation repeat morale failure firefight
WG-1778,Delayed Heat Penalty,deferred overheat consequence; next-turn heat penalty,Resources,Deferred self-overdrive penalty,"A unit may gain extra attack output now while the resulting heat penalties to accuracy, movement and defence apply from the following turn.","Separates the benefit and cost of overdrive across turns, creating deliberate future debt.",heat level / next-turn modifiers,"Useful for engines, reactors or exertion systems where present output mortgages future performance.",BattleTech: Alpha Strike,Generic concept from system-specific rule,BTAS-QSR26,https://battletech.com/wp-content/uploads/2026/01/Alpha-Strike-Box-Set-Quick-Start-Rulebook-3rd-Print-12-29a.pdf,,v58,delayed heat penalty deferred overdrive future debt battletech alpha strike
WG-1779,Rear Damage Bonus,rear-arc bonus damage; back-shot bonus,Combat & weapons,Facing-dependent fixed damage bonus,A successful attack entering through the target rear arc adds a fixed amount of damage after range-based damage is established.,Rewards manoeuvre around facing without changing the attack roll itself.,+1 damage in source,Useful when flanking should increase lethality but remain simpler than separate armour facings.,BattleTech: Alpha Strike,Generic concept from system-specific rule,BTAS-QSR26,https://battletech.com/wp-content/uploads/2026/01/Alpha-Strike-Box-Set-Quick-Start-Rulebook-3rd-Print-12-29a.pdf,,v58,rear damage bonus facing flank battletech alpha strike
WG-1780,Structure Critical Trigger,internal-damage critical trigger; structure breach critical,Damage & morale,Layer-crossing critical trigger,Damage that reaches the internal structure layer triggers a separate critical-effect check in addition to reducing durability.,Makes penetration through an outer defence layer qualitatively more dangerous than ordinary damage.,structure damage -> 2d6 critical check,Useful for vehicles and monsters with outer protection over vulnerable internal systems.,BattleTech: Alpha Strike,Generic concept from system-specific rule,BTAS-QSR26,https://battletech.com/wp-content/uploads/2026/01/Alpha-Strike-Box-Set-Quick-Start-Rulebook-3rd-Print-12-29a.pdf,,v58,structure critical trigger armour internal damage battletech
WG-1781,Critical Hit Substitution,inapplicable-critical substitution; dead-result conversion,Damage & morale,Invalid critical converts to damage,"If a rolled critical effect cannot meaningfully apply to the target, it is converted into additional ordinary damage rather than becoming a wasted result.",Prevents critical tables from producing null outcomes against already-disabled subsystems.,invalid critical -> +1 damage in source,Useful for subsystem tables with effects that may cease to be relevant during play.,BattleTech: Alpha Strike,Generic concept from system-specific rule,BTAS-QSR26,https://battletech.com/wp-content/uploads/2026/01/Alpha-Strike-Box-Set-Quick-Start-Rulebook-3rd-Print-12-29a.pdf,,v58,critical hit substitution invalid result damage battletech
WG-1782,Cooling by Ceasefire,ceasefire cooling; attack-forfeit recovery,Resources,Action abstention clears accumulated heat,A unit that makes no weapon attack during the turn can clear its accumulated heat during end-of-turn cooling.,Makes recovery compete directly with offensive output rather than consuming a separate repair action.,no weapon attack -> heat reset,"Useful for heat, fatigue or strain systems where restraint is the recovery mechanism.",BattleTech: Alpha Strike,Generic concept from system-specific rule,BTAS-QSR26,https://battletech.com/wp-content/uploads/2026/01/Alpha-Strike-Box-Set-Quick-Start-Rulebook-3rd-Print-12-29a.pdf,,v58,cooling ceasefire no attack heat reset battletech
WG-1783,External Heat Cap,incoming heat cap; status-source ceiling,Resources,Per-turn externally inflicted heat ceiling,"Heat imposed by enemy heat-producing attacks is capped per target each turn, preventing repeated sources from stacking without limit.",Controls status burst while allowing several units to contribute to the same pressure mechanic.,maximum 2 external heat per turn in source,"Reusable for poison, suppression, hacking or other externally stacked status resources.",BattleTech: Alpha Strike,Generic concept from system-specific rule,BTAS-QSR26,https://battletech.com/wp-content/uploads/2026/01/Alpha-Strike-Box-Set-Quick-Start-Rulebook-3rd-Print-12-29a.pdf,,v58,external heat cap incoming status ceiling battletech
WG-1784,Damage-to-Heat Conversion,heat fallback damage; incompatible-status conversion,Combat & weapons,Status effect converts against incompatible targets,A heat-producing attack converts its heat component into ordinary damage when the target does not use the heat subsystem.,Lets specialised attacks remain useful against targets lacking the subsystem they normally manipulate.,heat points -> damage against non-heat target,Useful for cross-unit-type compatibility in heterogeneous games.,BattleTech: Alpha Strike,Generic concept from system-specific rule,BTAS-QSR26,https://battletech.com/wp-content/uploads/2026/01/Alpha-Strike-Box-Set-Quick-Start-Rulebook-3rd-Print-12-29a.pdf,,v58,damage heat conversion incompatible target battletech
WG-1785,Multiple Attack Rolls,MAR; per-damage attack rolls,Combat & weapons,Damage potential split into independent hit rolls,"Instead of one all-or-nothing attack roll, each point of potential damage receives its own attack roll and successful points are recombined into one attack.",Smooths damage variance while preserving the unit card damage value.,one attack roll per damage point,Useful when large attacks should partially hit rather than swing between full damage and zero.,BattleTech: Alpha Strike,"System-specific label, reusable concept",BTAS-QSR26,https://battletech.com/wp-content/uploads/2026/01/Alpha-Strike-Box-Set-Quick-Start-Rulebook-3rd-Print-12-29a.pdf,,v58,multiple attack rolls MAR per damage partial hit battletech
WG-1786,Multiple Damage Rolls,variable damage; per-point damage confirmation,Combat & weapons,Post-hit damage-point confirmation,"After an attack hits, each point of potential damage is independently tested to determine how much of the maximum damage is actually delivered.",Separates accuracy from damage variance while avoiding an all-or-nothing damage result.,1d6 per potential damage point / 3+ in source,Useful when a successful volley should have variable effect without making separate hit rolls.,BattleTech: Alpha Strike,"System-specific label, reusable concept",BTAS-CE7,https://anyflip.com/fpxga/nphj/basic/151-200,,v58,multiple damage rolls variable damage per point battletech
WG-1787,Motive Systems Damage,motive hit; mobility-system critical,Damage & morale,Vehicle-specific mobility damage,Damaged vehicles can make an additional motive-system check whose outcome may permanently impair movement according to propulsion type.,Adds a vehicle-specific disablement channel separate from ordinary structure damage.,damage trigger / motive-type modifiers,"Useful for wheeled, tracked, hover or other vehicles whose locomotion should fail differently from hull integrity.",BattleTech: Alpha Strike,"System-specific label, reusable concept",BTAS-QSR19,https://battletech.com/wp-content/uploads/2025/07/Alpha%20Strike%20Quick%20Start%20Rules%202019-08.pdf,,v58,motive systems damage vehicle mobility critical battletech
WG-1788,Layered Armour and Structure,A/S; outer armour and internal structure,Damage & morale,Two-layer durability track,Damage removes an outer armour layer before reaching internal structure; depletion of structure destroys the unit and structure damage can unlock additional consequences.,Creates a clear transition from protected damage to vulnerable internal damage.,armour points + structure points,"Useful for vehicles, walkers and fortified creatures where penetration should change the quality of later damage.",BattleTech: Alpha Strike,Generic concept from system-specific rule,BTAS-QSR26,https://battletech.com/wp-content/uploads/2026/01/Alpha-Strike-Box-Set-Quick-Start-Rulebook-3rd-Print-12-29a.pdf,,v58,layered armour structure durability penetration battletech
WG-1789,Foxhole State,dug-in state; fixed fighting position,Terrain & battlefield,Self-created fixed cover state,"A trooper can enter a stationary fighting-position state that changes its silhouette, grants all-round partial cover and defensive abilities, but prevents movement while maintained.",Turns an action investment into a portable fortified position with a mobility lockout.,Long Skill / state token / fixed position,"Useful for sappers, weapon teams and deployable fighting positions where defence is purchased by surrendering mobility.",Infinity N5,"System-specific label, reusable concept",INF-N5-FOX,https://infinitythewiki.com/Foxhole_State,,v59,foxhole state dug in fixed cover mobility lock infinity n5
WG-1790,Impetuous Free Activation,impetuous activation; phase-specific free activation,Action economy,Trait-gated free activation window,"A designated aggressive trooper may activate once in a dedicated phase without consuming an ordinary Order, but the activation is constrained to a restricted action menu.",Adds extra tempo to aggressive pieces while limiting how flexibly that tempo can be spent.,one free activation / Impetuous Phase,"Useful for berserk, frenzied or compulsory-aggression units that should act more often without receiving unrestricted extra actions.",Infinity N5,Generic concept from system-specific rule,INF-N5-IMP,https://infinitythewiki.com/Impetuous,,v59,impetuous free activation phase restricted actions infinity n5
WG-1791,Use-It-or-Lose-It Order Pool,expiring action pool; non-bankable orders,Action economy,Turn-expiring shared resource,"A shared activation pool may be spent freely during the current turn, but any unspent capacity is discarded rather than carried into a later turn.",Creates pressure to exploit current tempo instead of hoarding activation resources.,Order tokens / expires at turn end,Useful for pooled-action systems where banking would otherwise create runaway future turns.,Infinity N5,Generic concept from system-specific rule,INF-N5-SEQ,https://infinitythewiki.com/Game_Sequence,,v59,use it lose it order pool expiring activation resource infinity n5
WG-1792,State Check Phase,states phase; delayed state resolution,Turn structure,End-of-turn status resolution window,"Status effects and skills that require periodic checks are resolved together after active Orders end, without opening ordinary reaction opportunities.",Separates ongoing-condition maintenance from the action/reaction engine.,end-of-turn phase / state checks,"Useful for poison, fire, regeneration and timed effects that should resolve predictably without recursively triggering interrupts.",Infinity N5,Generic concept from system-specific rule,INF-N5-SEQ,https://infinitythewiki.com/Game_Sequence,,v59,state check phase delayed status resolution no reactions infinity n5
WG-1793,Skill-Failure Idle Substitution,failed declaration becomes idle; invalid-action fallback,Action economy,Illegal-action fallback resolution,"If a declared skill is found at resolution not to satisfy its requirements, the model performs an Idle instead, while some costs and revelation consequences still remain.",Prevents rewinding an invalid declaration into a better choice and preserves commitment costs.,declared skill -> Idle / costs may persist,Useful in declaration-first systems because invalid choices have a standard fallback rather than forcing procedural rewinds.,Infinity N5,Generic concept from system-specific rule,INF-N5-IDLE,https://infinitythewiki.com/Idle,,v59,skill failure idle substitution invalid declaration fallback infinity n5
WG-1794,Undeployed Order Secrecy,off-table activation secrecy; hidden resource contribution,Hidden information,Deployment-linked resource secrecy,"Troops not yet represented on the table do not contribute their ordinary activation resource to the visible shared pool, and the missing resource remains private information.",Prevents the public action economy from revealing the existence or number of undeployed troops.,hidden Orders / undeployed models,Useful when reserve or hidden deployment should conceal force composition as well as position.,Infinity N5,Generic concept from system-specific rule,INF-N5-SEQ,https://infinitythewiki.com/Order_Count,,v59,undeployed order secrecy reserve hidden deployment private information infinity n5
WG-1795,Warhorse,veteran command immunity; systemic morale immunity,Command & control,Multi-system command-disruption immunity,"A veteran trait allows a trooper to remain operational through commander loss and army retreat, and also prevents isolation effects from cutting it out of the command network.",Bundles immunity to several force-level command failures into one veteran quality.,automatic skill / immunity set,Useful for elite veterans intended to remain reliable when the surrounding command structure collapses.,Infinity N5,"System-specific label, reusable concept",INF-N5-WAR,https://infinitythewiki.com/Warhorse,,v59,warhorse veteran command retreat isolation immunity infinity n5
WG-1796,FT Master,fireteam master; formation regulariser,Command & control,Leader-conferred activation regularity,"A specialist leader makes all members of its formation Regular during Order generation; if they are already Regular, the formation instead gains a coherency benefit.",Converts leader presence into either resource reliability or formation-control range depending on what the group already possesses.,formation membership / Regular status or +2 inch coherency,Useful for leaders whose value should adapt rather than wasting a bonus on already-disciplined troops.,Infinity N5,"System-specific label, reusable concept",INF-N5-FTM,https://infinitythewiki.com/FT_Master,,v59,ft master fireteam regular order coherency leader infinity n5
WG-1797,Alert Broadcast,Look Out; facing warning,Reactions & interrupts,Reaction-triggered allied reorientation,"A reacting model that sees an enemy activation can warn friendly models, allowing them to change facing without moving.",Propagates local awareness to allies without granting them attacks or displacement.,ARO / facing change / allied models,Useful where facing matters and battlefield communication should let one observer correct several allies' awareness.,Infinity N5,Generic concept from system-specific rule,INF-N5-LOOK,https://infinitythewiki.com/Look_Out,,v59,alert broadcast look out facing reorientation reaction infinity n5
WG-1799,Ablative Armour,ablative defence; critical-downgrade armour,Damage & morale,Exceptional-hit downgrade defence,A defensive property converts a limited number of the attack's highest-grade hit results into a lower-grade result before those exceptional results are resolved.,Reduces attack quality rather than cancelling damage outright.,X converted high-grade results / attack; may be arc-specific,Useful for armour that blunts critical-quality hits while leaving ordinary fire largely unchanged.,Dystopian Wars 4.02,"System-specific label, reusable concept",DW402-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,,v60,ablative armour exceptional hit downgrade arc defence dystopian wars
WG-1800,Stoic,disorder buffer; zero-penalty stress rung,Damage & morale,Pre-condition buffer state,The first point of an accumulating disorder condition becomes a harmless buffer token; only a further increase converts it into the normal penalising condition.,Adds a zero-penalty rung before the ordinary condition ladder begins.,1 buffer token before Disorder 1,Useful for resilient units that should absorb the first morale or stress shock without ignoring later pressure.,Dystopian Wars 4.02,"System-specific label, reusable concept",DW402-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,,v60,stoic disorder buffer condition ladder resilience dystopian wars
WG-1801,Duplicate Critical Compression,Orichalcite Construction; repeated-critical compression,Damage & morale,Duplicate-effect penalty compression,"Multiple copies of the same critical effect count as a single copy when ongoing penalties are resolved, while all copies still count towards catastrophic-damage thresholds.",Separates ongoing impairment from accumulated catastrophic risk.,duplicate criticals -> one ongoing penalty; all count for catastrophe,Useful where repeated subsystem damage should accelerate destruction without multiplying the same turn-by-turn penalty.,Dystopian Wars 4.02,Generic concept from system-specific rule,DW402-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,,v60,duplicate critical compression orichalcite ongoing penalty catastrophe
WG-1802,Strategic Asset,surviving asset VP; endgame asset value,Scenarios & victory,Survival-dependent scoring property,A designated model awards a fixed number of victory points if it remains on the battlefield and operational at the end of the game.,Makes preservation of a particular unit an explicit scoring objective.,X victory points / Battle-Ready at game end,"Useful for flagships, VIPs, command vehicles or expensive strategic platforms whose survival matters independently of objectives.",Dystopian Wars 4.02,"System-specific label, reusable concept",DW402-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,,v60,strategic asset surviving model victory points endgame
WG-1803,Exclusive Support Stack,Exceptional; homogeneous support stack,Game object,Mutually exclusive support-stack composition,"A support token with this property can stack only with tokens of its own type, and a unit carrying that stack cannot simultaneously receive other friendly support-token types.",Uses stack-composition rules to make specialist support mutually exclusive.,token type / homogeneous stack,"Useful for aircraft, drones or attachments whose specialised operating requirements should prevent mixed packages.",Dystopian Wars 4.02,Generic concept from system-specific rule,DW402-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,,v60,exclusive support stack exceptional homogeneous srs dystopian wars
WG-1804,Intercepted Contribution Persistence,Harriers; post-loss contribution,Reactions & interrupts,Destroyed-or-intercepted asset retains effect,"A support token removed by interception can still contribute to the attack pool, and may allow the mission to continue even if it was the final surviving token.",Lets an asset's committed attack effect persist after defensive interception removes the asset itself.,1 action die per qualifying discarded token,"Useful for missiles, strike craft or sacrificial attackers whose payload can remain effective after interception.",Dystopian Wars 4.02,Generic concept from system-specific rule,DW402-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,,v60,intercepted contribution persistence harriers attack run interception
WG-1805,Portal Strike,networked retargeting; portal-linked strike continuation,Targeting & visibility,Post-attack network retargeting,"After an attack-run mission, a resource can be spent to move the surviving strike package through linked portal positions and assign it to a different enemy target, with a once-per-round limiter.",Turns a completed strike into a chained attack opportunity through a battlefield network.,card discard / linked markers / once per round,"Useful for teleport gates, tunnels or relays that let committed assets retarget without returning to their origin.",Dystopian Wars 4.02,"System-specific label, reusable concept",DW402-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,,v60,portal strike network retarget attack run chained target
WG-1806,Surgical Strike,critical-effect doubling; precision subsystem strike,Combat & weapons,Selected critical-effect amplification,Each qualifying support token can cause one critical-damage die of a specified type to inflict an additional instance of that same effect.,Concentrates attack quality on a chosen subsystem consequence rather than adding generic damage.,one doubled specified critical effect per token,"Useful for precision bombers, saboteurs or specialist weapons intended to multiply a particular damage state.",Dystopian Wars 4.02,"System-specific label, reusable concept",DW402-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,,v60,surgical strike critical effect doubling precision subsystem
WG-1807,Interception Resistance Contribution,Tail Gunners; defensive escort dice,Reactions & interrupts,Support assets add anti-interception resistance,Support tokens contribute dice to a resistance roll when an opponent attempts to intercept their mission.,Lets strike-package composition affect survivability against interception independently of offensive output.,X resistance dice per token,"Useful for escorts, tail gunners, electronic warfare or defensive drones attached to an attacking package.",Dystopian Wars 4.02,Generic concept from system-specific rule,DW402-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,,v60,interception resistance contribution tail gunners escort dice
WG-1808,Cripple-to-Destruction Conversion,Light Vessel; no crippled state,Damage & morale,Unit class skips intermediate damage state,"A light unit that would enter the normal crippled state is destroyed immediately instead, while also bypassing a larger unit's catastrophic-destruction effect.",Removes an intermediate damage state for fragile unit classes.,Crippled threshold -> destroyed,Useful when small craft should fail abruptly and cleanly rather than use the full capital-unit damage ladder.,Dystopian Wars 4.02,Generic concept from system-specific rule,DW402-GLOSS,https://www.warcradle.com/assets/warcradleGames/dystopianWars/pdfs/essentials/DW4-Rules-Glossary-v4.02_W-compressed.pdf,,v60,cripple destruction conversion light vessel skip damage state
WG-1809,Outnumbered Pass Compensation,Pass Pool; activation-count catch-up,Turn structure,Force-size based pass resource,"The player with fewer surviving units receives a limited pool of pass opportunities based on the difference in surviving unit counts, allowing them to decline some activation turns without giving unlimited stalling.",Compensates for activation-count disadvantage while preserving the value of having more units.,Advantage tokens / unit-count difference minus one,Useful for alternating-activation games where MSU-heavy forces would otherwise dominate timing simply by having more activations.,Star Wars: Legion,Generic concept from system-specific rule,LEGION-2026,https://www.atomicmassgames.com/swlegiondocs/,,v61,outnumbered pass compensation pass pool activation count catch up legion
WG-1810,Field Promotion,commander succession; battlefield promotion,Command & control,Automatic command-role succession,"When all normal commanders are lost, an eligible ordinary troop unit is promoted into the command role and changes rank for rules purposes.",Prevents commander death from automatically disabling the entire command subsystem while still making succession conditional on surviving eligible troops.,one eligible Trooper / Commander rank,Useful for games where command should degrade or migrate after leader casualties instead of simply disappearing.,Star Wars: Legion,"System-specific label, reusable concept",LEGION-2026,https://www.atomicmassgames.com/swlegiondocs/,,v61,field promotion commander succession rank replacement legion
WG-1811,Incognito,non-hostile disguise; protected covert state,Detection & stealth,Attack-restricted covert state,A covert unit cannot normally be attacked from outside a short distance and cannot contribute to ordinary objective control or support while disguised; attacking or defending permanently ends the state.,Trades battlefield influence for strong targeting protection until the model openly participates in combat.,state / range 1 targeting restriction,"Useful for spies, civilians, infiltrators or disguised units where concealment is social rather than purely visual.",Star Wars: Legion,"System-specific label, reusable concept",LEGION-2026,https://www.atomicmassgames.com/swlegiondocs/,,v61,incognito disguise covert targeting restriction legion
WG-1812,Suppression-Preserving Concealment,inconspicuous; voluntary stress retention,Detection & stealth,Negative-state retained for defensive benefit,A unit gains targeting protection while it has suppression and may deliberately leave some suppression in place during recovery to preserve that protection.,Turns an ordinarily harmful state into a resource the player may intentionally retain.,1+ suppression tokens / optional non-removal,"Useful when frightened, hidden or low-profile units should sometimes prefer remaining suppressed to becoming more visible.",Star Wars: Legion,Generic concept from system-specific rule,LEGION-2026,https://www.atomicmassgames.com/swlegiondocs/,,v61,suppression preserving concealment inconspicuous retain suppression target priority legion
WG-1813,AI Conditional Compulsion,conditional AI action; degraded autonomy,Solo & AI,State-triggered compulsory action,"A unit with an AI rule must choose from a restricted action list only when it lacks explicit orders and is also suffering specified adverse conditions such as suppression, vehicle damage or heavy losses.",Makes autonomous behaviour emerge when command control and unit condition deteriorate rather than applying constantly.,faceup Order absence + condition trigger,"Useful for drones, robots, panicked troops or doctrine-bound units that become less flexible when damaged or unsupervised.",Star Wars: Legion,Generic concept from system-specific rule,LEGION-2026,https://www.atomicmassgames.com/swlegiondocs/,,v61,ai conditional compulsion no order suppression damage autonomy legion
WG-1814,Dual-Sided Upgrade,mode-selected upgrade; deployment-side choice,Army building,Deployment-selected equipment mode,"A purchased upgrade has two rule faces but pays only one points cost; when its unit deploys, the controlling player chooses which face is active and only that face's rules apply.",Lets one list-building choice branch into a later deployment decision without paying for both modes.,one card / two faces / one active side,"Useful for transformable equipment, ammunition modes, stances or mission-dependent loadouts.",Star Wars: Legion,Generic concept from system-specific rule,LEGION-2026,https://www.atomicmassgames.com/swlegiondocs/,,v61,dual sided upgrade mode deployment choice legion
WG-1815,Permanent Expenditure,expend; one-use card state,Resources,Irrecoverable use state,A limited-use card moves from ready to a permanently spent state after use and cannot be refreshed for the remainder of the game.,Distinguishes consumable abilities from merely exhausted abilities that can later recover.,card orientation / once per game,Useful whenever the same component system needs both rechargeable and genuinely consumable abilities.,Star Wars: Legion,Generic concept from system-specific rule,LEGION-2026,https://www.atomicmassgames.com/swlegiondocs/,,v61,permanent expenditure expend one use card exhausted ready legion
WG-1816,Target-Count Dice Scaling,per-visible-model dice scaling; crowd-size attack scaling,Combat & weapons,Target-size scaled attack pool,"A weapon contributes its attack dice once for each eligible enemy miniature visible to the firing miniature, causing the attack pool to scale with target model count.",Makes certain area or spray weapons naturally stronger against dense multi-model units without using a physical template.,weapon dice × visible target models,"Useful for flamethrowers, shot clouds and area effects where target density should determine output.",Star Wars: Legion,Generic concept from system-specific rule,LEGION-2026,https://www.atomicmassgames.com/swlegiondocs/,,v61,target count dice scaling spray visible models attack pool legion
WG-1817,Damage-Threshold Action Loss,vehicle damage threshold; degraded vehicle activation,Damage & morale,Threshold-triggered probabilistic action loss,"Once a vehicle accumulates wounds equal to a resilience threshold, it gains a damage state that can cause it to lose an action on later activations.",Creates a capability breakpoint before destruction rather than reducing performance continuously with every wound.,wounds ≥ Resilience / one damage state / die check,Useful for vehicles and monsters that should become unreliable after serious damage but remain operational.,Star Wars: Legion,Generic concept from system-specific rule,LEGION-2026,https://www.atomicmassgames.com/swlegiondocs/,,v61,damage threshold action loss resilience vehicle degraded activation legion
WG-1818,Commander Courage Substitution,command aura morale substitution; borrowed courage,Damage & morale,Nearby leader substitutes morale threshold,"When checking panic, a unit can use a higher nearby commander's courage value instead of its own, making command proximity alter the threshold for catastrophic morale failure.",Represents leadership by substituting a stronger morale characteristic rather than adding a flat modifier.,range 3 / highest eligible Courage,Useful when commanders should stabilise nearby troops without making them universally better at every morale-related roll.,Star Wars: Legion,Generic concept from system-specific rule,LEGION-2026,https://www.atomicmassgames.com/swlegiondocs/,,v61,commander courage substitution panic aura borrowed morale legion
WG-1819,Core Unlock,core-unit unlock; composition unlock,Deployment & army building,Composition-gated slot generation,Selecting a qualifying core formation unlocks access to additional auxiliary and specialist choices.,Makes basic troops generate permission to include more specialised elements.,1 Core -> 1 Auxiliary + 1 Specialist in source,Useful for forcing armies to retain a battlefield backbone while still allowing specialist-heavy builds through investment in core units.,Kings of War 4th Edition,Generic concept from system-specific rule,KOW4-BUILD,https://www.manticgames.com/news/kings-of-war-4th-edition-building-armies/,,v62,core unlock army composition auxiliary specialist kings war
WG-1820,Support Unlock Pair,paired-unit support unlock; composition threshold unlock,Deployment & army building,Threshold-gated support slot,A support choice becomes available only after taking a required pair of qualifying ordinary or specialist formations.,Makes heavier support scale with the size of the force's main body.,2 Core/Specialist -> 1 Support in source,"Useful for artillery, monsters and heavy support that should appear in proportion to the army rather than through a flat global cap.",Kings of War 4th Edition,Generic concept from system-specific rule,KOW4-BUILD,https://www.manticgames.com/news/kings-of-war-4th-edition-building-armies/,,v62,support unlock pair army building core specialist support
WG-1821,Per-Battalion Selection Limit,formation-local cap; detachment cap,Deployment & army building,Subformation-scoped rarity cap,A restricted unit may have a maximum number of selections within each battalion rather than across the entire army.,Lets army size increase access to rare units only by paying the structural cost of creating another formation.,[n] selections per Battalion,Useful alternative to army-wide 0-X caps because expansion requires more core structure rather than simply a larger points total.,Kings of War 4th Edition,Generic concept from system-specific rule,KOW4-BUILD,https://www.manticgames.com/news/kings-of-war-4th-edition-building-armies/,,v62,per battalion selection limit rarity cap formation
WG-1822,Unique Selection Suffix,unique [U]; army-unique marker,Deployment & army building,List-wide uniqueness marker,A profile suffix marks a unit as selectable only once in the entire army regardless of how many battalions are present.,Encodes list-wide uniqueness directly in the profile or roster label.,[U] / maximum one per army,"Useful for named characters, relic units or singular assets whose rarity must override detachment-level allowances.",Kings of War 4th Edition,"System-specific notation, generic concept",KOW4-BUILD,https://www.manticgames.com/news/kings-of-war-4th-edition-building-armies/,,v62,unique selection suffix U army unique named hero
